brand,year,model,genes
ALKAT,2011,ALCATEL OT 990,4513|7109|9748|4932|1617|5281|7108|1124|9055|1967|5742|1737|9298|30|6002|6004|1547|8556|1544|2187|1353|1572|1232|7116|265|14|1579|5282|7628|1354|5039|1571|2825|56|7556|7963|8944|1088|2146|1589|1529|7727|1574|2737
ALKAT,2011,ALCATEL OT 990M,4513|7109|9748|4932|873|1617|5281|1124|9055|1967|583|1737|1905|9298|30|1035|1913|6004|1547|8556|1544|5283|1908|2187|1353|1572|1232|7116|265|14|1579|5282|7628|1354|883|5039|745|4547|1571|2825|56|7556|7963|8944|1088|584|4530|2146|1589|1529|781|7727|4923|1574|2737
ALKAT,2012,ALCATEL OT 986 FLYING EDITION,593|4932|4045|307|1630|5281|3500|7119|1124|1347|9055|1560|1967|812|5095|1905|5514|30|1342|1144|8556|5283|864|462|1908|1297|2930|2187|1572|2911|194|1040|1554|5352|14|1579|5282|790|7628|5039|4921|809|1571|6396|56|7556|7963|8944|1088|1343|1529|1574|4201|2737
ALKAT,2012,ALCATEL OT 986+,593|4932|1630|5281|7119|1124|1347|9055|1560|1967|5095|282|1905|5514|30|1342|1144|8556|5283|462|1908|1297|2930|2187|1572|2911|1040|1554|5352|14|1579|5282|7628|5039|4921|1571|6396|56|7963|1088|1343|1529|1574|2737
ASSOCIATION,2007,LENOVO ET600,2196|1642|4932|1617|1585|7124|1144|1297|1572|1579|5084|1571|56|1879|1574|1702|2168|4951
ASSOCIATION,2007,LENOVO ET600-E,2196|1642|4932|1617|1585|1144|1297|1572|1579|5084|1571|56|1879|1574|256|1702|2168|4951
ASSOCIATION,2008,LENOVO ET700,4932|1630|5281|9321|1560|1967|1357|1342|7914|2187|1572|1554|1579|5282|5084|8195|1571|56|1343|1589|1529|1879|2845|1574|1702|4951
ASSOCIATION,2008,LENOVO ET880,1642|357|4932|1630|1617|1560|1967|5514|1342|1144|1544|1297|2187|1572|1554|1579|5084|8195|1571|6396|2816|56|1343|1529|9407|1879|1574|1702|4951
ASSOCIATION,2008,LENOVO P80,6359|5601|1355|4932|1630|4427|9829|1560|1967|5742|5797|6002|1342|6004|1144|4371|7914|1297|4356|2187|1572|6118|1554|1579|6205|8195|6580|2941|4931|1571|56|1343|1589|1529|6503|1574|5312|5402|9331
ASSOCIATION,2009,LENOVO ET60,4932|5281|1560|1967|5742|10008|5514|1342|1144|1297|2187|9403|1572|143|1579|5282|4931|1571|6396|56|2989|1343|1589|1529|1879|1574|1702
ASSOCIATION,2009,LENOVO I60,4932|1487|1630|1617|5281|1560|1967|26|5514|1342|1144|1544|7914|5283|1297|2187|1572|1554|9303|5352|1579|5282|5084|1571|6396|56|1343|1589|1529|1574|256|2982|4951
ASSOCIATION,2009,LENOVO I60S COMFORT EDITION,9590|1355|9249|4932|1630|5281|1560|1967|5514|1342|1144|7914|1297|2187|1572|1554|5352|1579|5282|5084|2902|1571|6396|56|7556|8944|1343|1589|1529|1574|4951
ASSOCIATION,2009,LENOVO I60S DELUXE EDITION,1355|4932|1630|5281|1560|1967|5514|1342|1144|7914|1297|2187|1572|1554|5352|1579|5282|5084|2902|1571|6396|56|7556|8944|1343|1589|1529|9407|1574|4951
ASSOCIATION,2009,LENOVO I61,5507|9761|6397|4932|1630|1617|5281|1560|1967|5514|1342|1144|1547|7914|1297|2824|2187|9403|1572|1554|5352|1579|5282|8195|4931|1571|6396|56|1343|1589|1529|1574
ASSOCIATION,2009,LENOVO O1,1740|5398|420|2830|1624|4932|1742|1630|5281|1585|9055|1967|9298|5514|30|1342|8556|1544|6144|2187|2920|1572|1238|9850|1232|1554|1579|5282|7628|5039|55|1571|6396|56|7556|7963|8944|1343|1529|475|1574|1753|146
ASSOCIATION,2009,LENOVO P50,5507|6397|6359|1355|9249|4932|2759|1630|5281|1560|1967|5797|5514|6002|1342|6004|1144|1547|1544|7914|6552|1297|2187|1572|6118|1554|9734|5352|1579|5282|5535|5084|1609|6205|8195|1571|6396|56|7556|8944|1343|1589|1529|6503|1574|4951
ASSOCIATION,2009,LENOVO P619,1624|6359|1355|9249|4932|1630|1617|1585|1560|1967|5036|3060|1342|1144|1547|1544|1297|9543|2187|1572|1554|5352|1579|1609|8195|6233|1571|56|1343|5148|5714|1529|7727|1574
ASSOCIATION,2009,LENOVO P80,1355|4932|1630|4427|1560|1967|6002|1342|6004|1144|4371|7914|1297|4356|2187|1572|1554|1579|8195|2941|4931|1571|56|1343|1589|1529|9407|7727|1574
ASSOCIATION,2009,LENOVO S700,9400|5507|6397|7496|1355|4932|8180|1630|1617|5281|1585|9055|1560|1967|1342|1144|8556|1297|2187|1572|8402|6988|6118|1554|7815|5352|1579|5282|8195|7628|4931|1571|9029|56|7556|7963|8944|1343|1529|7727|6503|5607|1574|2800|8474
ASSOCIATION,2010,LENOVO 3GC101,1740|4513|9353|2830|7109|1624|4932|7623|1630|5281|1124|9055|1560|1967|583|4500|5095|5514|30|1035|463|1342|1547|8556|1544|406|7914|5283|1908|2187|1353|2920|1572|8359|1654|1238|1232|7116|1554|33|5352|614|1579|5282|8195|7628|1354|9493|5039|4547|1571|6396|7556|7963|8944|1088|1731|1343|584|4530|1529|781|125|7727|1574|2737
ASSOCIATION,2010,LENOVO 3GW100,1740|5718|2830|1624|4206|7496|4932|873|7623|1630|5281|1560|1967|583|4500|30|1035|1357|1342|1547|391|1544|9587|3871|7914|5283|1908|3663|2187|2920|1572|8359|8402|1654|1238|1232|4248|1554|14|614|1579|5282|8195|3517|883|1571|9029|56|7556|8944|1731|1343|584|5139|1529|781|125|7727|1574|9322
ASSOCIATION,2010,LENOVO 3GW101,1740|9353|2830|7109|4932|873|1630|1617|5281|1560|1967|583|4500|5563|5514|30|6002|1035|1342|6004|1547|391|1544|7914|5283|2187|2920|1572|1654|1238|1232|7116|1554|14|614|1579|5282|8195|9493|883|5039|1571|6396|56|7556|8944|1731|1343|584|1529|781|125|7727|1574
ASSOCIATION,2010,LENOVO I300,9972|5507|6397|1355|9249|4932|1630|1617|5281|1585|1560|1967|5036|1342|1144|1544|1297|2930|2187|1572|1554|5352|1579|5282|1571|56|1343|5148|1589|1529|5607|1574
ASSOCIATION,2010,LENOVO I61,5507|9761|6397|4932|1630|1617|5281|1560|1967|5514|1035|3060|1342|1144|1547|7914|1297|2187|9403|1572|1554|5352|1579|5282|8195|4931|1571|6396|56|1343|1589|1529|1574
ASSOCIATION,2010,LENOVO P50,5507|6397|6359|1355|9249|4932|2759|1630|5281|7124|1560|1967|5797|5514|6002|1342|6004|1144|1547|1544|7914|1297|2187|1572|6118|1554|9734|5352|1579|5282|5084|1609|8195|1571|6396|56|7556|8944|1343|1589|1529|6503|1574|4951
ASSOCIATION,2010,LENOVO P619,1624|6359|1355|9249|4932|1630|1617|1585|1560|1967|3060|1342|1144|1547|1544|1297|9543|2187|1572|1554|5352|1579|1609|6233|1571|56|1343|5148|5714|1529|1574
ASSOCIATION,2010,LENOVO P80,1355|4932|1630|4427|9829|1124|1560|1967|1342|1144|4371|7914|1297|4356|2187|1572|1554|1579|8195|2941|4931|1571|56|1088|1343|1589|1529|1574|9331|2737
ASSOCIATION,2010,LENOVO S700+,5507|4513|6397|7496|1355|4932|7623|1630|1617|5281|1585|1124|9055|1560|1967|1342|1144|8556|7914|1297|2187|1572|8359|8402|6988|1554|5352|1579|5282|8195|7628|4931|1571|9029|56|9415|7963|1088|1343|1589|1529|9744|1574|2800|9001|2737
ASSOCIATION,2011,LENOVO A1,1740|2830|7109|4932|13951|1630|10166|1617|5281|1585|7124|9358|1560|1967|1710|583|1857|1645|1905|30|1035|1342|1544|6162|5283|1908|2187|1353|2920|1572|1232|7116|1554|9303|14|1579|5282|370|1354|745|1571|6396|56|7556|8944|1731|1343|584|5139|1589|1529|781|1574
ASSOCIATION,2011,LENOVO A610,1355|9249|4932|13951|13924|5281|1560|5036|5514|1342|1144|1544|9484|1297|2187|1572|1579|5282|1571|6396|56|1343|5148|1589|1529|2767|1574
ASSOCIATION,2011,LENOVO I300,9972|5507|6397|1355|9249|4932|5281|1124|1560|1967|5036|5514|1342|1144|1544|1297|2930|2187|1572|5352|1579|5282|1571|6396|56|1088|1343|5148|1589|1529|7727|1574|2737
ASSOCIATION,2011,LENOVO S1,1740|9353|2830|7109|3556|3600|4932|873|13951|7623|1630|1617|5281|1585|1124|9055|7124|1560|1967|583|1905|30|1035|1913|1342|1547|391|8556|1544|6162|7914|1908|2187|1353|2920|1572|8359|1654|1238|1232|7116|6444|1554|14|614|1579|5282|7628|1354|9493|883|5039|1571|6396|56|7963|1088|1731|1343|584|1529|781|125|1574|2737
ASSOCIATION,2011,LENOVO S2,1740|2830|7109|9279|4932|13951|1630|1617|5281|1585|1124|9055|7124|1560|1967|1710|1857|5095|1645|1905|30|1342|1547|8556|1544|6162|7914|5283|1908|1353|2920|1572|7145|1238|1232|7116|1554|1579|5282|7628|1354|13921|1571|6396|56|7963|1088|1731|1343|9781|1529|1574|5120|2737
ASSOCIATION,2012,LENOVO K860,804|4513|7109|4932|10165|1630|541|5281|1124|9055|1560|1967|403|5095|1905|467|5514|30|6002|1342|6004|1144|2868|8556|1270|6036|9433|6162|7914|5283|820|1908|1216|2187|1572|1232|7116|1040|1554|5889|868|5597|14|1579|5282|1344|790|8195|7628|4922|9270|1225|4547|13921|1571|6396|56|7963|13846|1088|1343|4530|1193|1529|7727|1219|1574|5120|2737
ASSOCIATION,2012,LENOVO K860I,804|42|4513|287|7109|4932|57|1630|541|5281|1124|1347|9055|1560|1967|3515|403|5095|1905|467|2330|5514|30|1342|1144|2868|8556|1270|9433|7914|5283|820|3741|1908|1216|2187|1572|1232|10128|7116|3751|2376|1554|868|5352|14|1579|5282|790|10|8195|7628|2375|4922|9270|1225|1032|4547|13921|1571|6396|56|4263|7963|13846|1088|1343|4530|1193|1529|7727|2295|1219|19|1574|5120|4125|2737
ASSOCIATION,2012,LENOVO P700,4513|2830|4932|818|1630|1617|5281|1585|1124|9055|1560|1967|5095|514|1905|30|1035|1342|6004|1144|8556|1270|5283|864|1908|1216|2187|1572|2959|1232|10043|6118|1554|14|614|1579|5282|6186|1344|8195|7628|9287|5039|809|1225|4547|1571|56|7963|1088|6331|1343|4530|1193|2146|1589|1529|125|4923|1219|1574|2737
ASSOCIATION,2012,LENOVO P700I,5348|4513|2830|7109|5663|4932|10080|1630|5281|1124|1560|1967|1905|30|6002|1035|1342|6004|1144|1270|5283|1908|1216|2187|1572|2959|1232|7116|6118|1554|5352|14|1579|5282|6186|1344|8195|9287|5039|4921|1225|6536|4547|1571|56|1088|1343|4530|1193|1589|1529|125|6503|1219|1574|2737
ASSOCIATION,2012,LENOVO S720,42|3743|4513|6397|7109|4932|57|2993|818|1630|1617|10199|5281|1585|1124|9055|1560|1967|5095|1905|6007|4747|2330|30|6002|1035|723|1342|6004|8556|1544|5283|864|1908|2187|1572|1238|1232|3812|7116|2376|1554|532|5352|5319|14|614|1579|3730|5282|1344|10|8195|7628|2375|4921|809|4547|1571|56|7963|1088|1343|4530|1589|1529|125|2295|19|1574|5120|9342|2737
